"DATE","PLSTN","NBLV","NBRU","TDML+CPOOL","TDMS","TDMF","TDML+TDMS+TDMF+CPOOL","PLAR","TDML","TDML2","TDML2+CPOOL","PLAR2","PLAR2*10000./((TDML2+CPOOL)/(1.0+FRPT))","DMMF","DMGF","TNSF","TNF-TNSF","TNMF","TDMF/(TDML+TDMS+TDMF+CPOOL)","GP","RMAINT","GRESP","SOSIR","CPOOL","PTNLVS","PTNSTM","PTNFRT","NBRU","NBRUP","TABNF","TNF","TNSF"
25,19.2288290125,16,3,9.43623688987134,3.90113366580462,0.0115521926313175,13.3489227483073,0.189301284927333,8.87993699953257,8.87993699953257,9.43623688987134,0.189301284927333,256.180237602641,0,0.0115521926313175,0.564359685375,0,0,0.00118012910392158,1.29566681842774,0.158912903947542,0.0673797620767728,1,0.556299890338767,0.219936999532576,0.0919336658046166,0.0115521926313175,3,1,0,0.564359685375,0.564359685375
26,19.73661295,16,3,9.67415713981618,3.99472135816796,0.0390849814420562,13.7079634794262,0.192686079546537,9.10383100040182,9.10383100040182,9.67415713981618,0.192686079546537,254.347867235081,0,0.0390849814420562,1.1889339285,0,0,0.00385150986415121,1.43703902917813,0.130346833240738,0.0718780170923594,1,0.570326139414366,0.223894000869243,0.0935876923633435,0.0275327888107387,3,1,0,1.1889339285,1.1889339285
27,20.2340297972222,17,3,9.99839942819539,4.12226446365417,0.0800684920141269,14.2007323838637,0.196860321232752,9.40895804701954,9.40895804701954,9.99839942819539,0.196860321232752,251.430873530922,0,0.0800684920141269,1.80075665058333,0,0,0.00752471626253359,1.74605375386341,0.131687476671768,0.0986778463908316,1,0.589441381175852,0.305127046617716,0.127543105486205,0.0409835105720706,3,1,0,1.80075665058333,1.80075665058333
28,20.7596724936257,17,3,10.2846652785873,4.23486925600296,0.155315842246914,14.6748503768372,0.201644060325723,9.67834750239942,9.67834750239942,10.2846652785873,0.201644060325723,250.372236782525,0,0.155315842246914,2.44729716715964,0,0,0.0139737231704517,1.59814816350945,0.146334978068701,0.0952586662419709,1,0.606317776187904,0.269389455379882,0.112604792348791,0.075247350232787,3,1,0,2.44729716715964,2.44729716715964
29,21.2766532449459,18,3,10.6151493052196,4.36486759545761,0.27331864688982,15.2533355475671,0.206872953591819,9.98934831449189,9.98934831449189,10.6151493052196,0.206872953591819,248.867683478415,0,0.27331864688982,3.08318349128344,0,0,0.0233738821380771,1.63127470268445,0.150006746851583,0.116458740872923,1,0.625800990727761,0.31100081209247,0.129998339454652,0.118002804642906,3,1,0,3.08318349128344,3.08318349128344
30,21.7942586477519,17,4,10.9455333180985,4.49482659376164,0.441504177834658,15.8818640896948,0.212321672339445,10.3002550089991,10.3002550089991,10.9455333180985,0.212321672339445,247.712713211651,0,0.441504177834658,3.7198381367348,0,0,0.0358309566329255,2.29498550265693,0.161188288356671,0.126885671615861,1,0.645278309099398,0.310906694507261,0.129958998304035,0.168185530944838,4,1,0,3.7198381367348,3.7198381367348
31,22.3040019987024,18,4,11.4436963368134,4.69078270658973,0.665773533063048,16.8002525764662,0.219942761555693,10.769049537296,10.769049537296,11.4436963368134,0.219942761555693,245.433728963164,0,0.665773533063048,4,0,0,0.0502840507926884,1.7796463900768,0.165137343004685,0.185212499240278,1,0.674646799517369,0.468794528296859,0.195956112828087,0.22426935522839,4,1,0,4,4
32,22.8003331513562,18,4,12.018171001406,4.91675657049115,0.944985800512749,17.8799133724099,0.228045280193438,11.3096568672037,11.3096568672037,12.018171001406,0.228045280193438,242.311265809874,0,0.944985800512749,4,0,0,0.0659910277343891,1.93226256924626,0.173549603308485,0.217873637762254,1,0.708514134202268,0.540607329907698,0.225973863901418,0.279212267449702,4,1,0,4,4
33,23.333680665703,19,4,12.2589965244115,5.20409279419157,1.32474414804967,18.7878334666527,0.241899818757746,11.9970641009368,11.9970641009368,12.2589965244115,0.241899818757746,251.983160235436,0,1.32474414804967,4.65601744264661,0,0,0.0869949195957994,1.76321229239729,0.199273171421344,0.282187876035501,1,0.261932423474688,0.68740723373306,0.287336223700419,0.379758347536925,4,2,0,4.65601744264661,4.65601744264661
34,23.8605339769955,19,4,12.5702047483075,5.44366558478852,1.66442683974446,19.6782971728405,0.257336407876781,12.5702047482979,12.5702047482979,12.5702047483075,0.257336407876781,261.426603176766,0,1.66442683974446,5.21227668745723,0.0917703280790905,0,0.103263193493481,1.63927109471231,0.215640569543285,0.240082527011016,0.723815871529575,9.65094670846156e-12,0.791832108005547,0.330985821146318,0.469294339977608,4,2,0.0917703280790902,5.30404701553632,5.21227668745723
35,24.3773480140333,20,4,13.1576461478178,5.68921608978417,2.04562446793942,20.8924867055414,0.273582213380759,13.157646147809,13.157646147809,13.1576461478178,0.273582213380759,265.522026175761,0,2.04562446793942,5.729288026218,0.210440254874845,0,0.118022560910744,2.0006984005559,0.227768201141047,0.252956152646194,0.662080148580453,8.82790137287278e-12,0.887266293621155,0.370877310733643,0.575757525750129,4,2,0.118669926795754,5.93972828109284,5.729288026218
36,24.9104754501147,20,4,13.7908521249048,5.95389618820638,2.54289567495035,22.2876439880615,0.292922477658682,13.7908521248956,13.7908521248956,13.7908521249048,0.292922477658682,271.23922480078,0,2.54289567495035,6.27370432895771,0.321770698515254,0,0.135782999536482,2.2856651817733,0.252052192822657,0.290657767191616,0.685237553927304,9.13728352240165e-12,0.924067826489555,0.386260351472634,0.725691702331423,4,2,0.11133044364041,6.59547502747296,6.27370432895771
